lemma	past	morphosyn	human_rating	lemma_orig	past_orig
pɹɛnd	pɹɛnt	V;PST;1;SG	NA	p r ɛ n d	p r ɛ n t
ɹɛd	ɹɛdɪd	V;PST;1;SG	NA	r ɛ d	r ɛ d ɪ d
ɹɛd	ɹɛd	V;PST;1;SG	NA	r ɛ d	r ɛ d
sYnd	sYndɪd	V;PST;1;SG	NA	s aɪ n d	s aɪ n d ɪ d
sYnd	sWnd	V;PST;1;SG	NA	s aɪ n d	s aʊ n d
sɪd	sɪdɪd	V;PST;1;SG	NA	s ɪ d	s ɪ d ɪ d
sɪd	sɪd	V;PST;1;SG	NA	s ɪ d	s ɪ d
skæst	skæstɪd	V;PST;1;SG	NA	s k ɑː s t	s k ɑː s t ɪ d
skæst	skæst	V;PST;1;SG	NA	s k ɑː s t	s k ɑː s t
skɪk	skɪkt	V;PST;1;SG	NA	s k ɪ k	s k ɪ k t
skɪk	skʌk	V;PST;1;SG	NA	s k ɪ k	s k ʌ k
skɹYv	skɹYvd	V;PST;1;SG	NA	s k r aɪ v	s k r aɪ v d
skɹYv	skɹov	V;PST;1;SG	NA	s k r aɪ v	s k r əʊ v
spæst	spæstɪd	V;PST;1;SG	NA	s p ɑː s t	s p ɑː s t ɪ d
spæst	spæst	V;PST;1;SG	NA	s p ɑː s t	s p ɑː s t
spold	spoldɪd	V;PST;1;SG	NA	s p əʊ l d	s p əʊ l d ɪ d
spold	spolt	V;PST;1;SG	NA	s p əʊ l d	s p əʊ l t
spɪnd	spɪndɪd	V;PST;1;SG	NA	s p ɪ n d	s p ɪ n d ɪ d
spɪnd	spɪnt	V;PST;1;SG	NA	s p ɪ n d	s p ɪ n t
stYd	stYdɪd	V;PST;1;SG	NA	s t aɪ d	s t aɪ d ɪ d
stYd	stʊd	V;PST;1;SG	NA	s t aɪ d	s t ʊ d
stɹYt	stɹYtɪd	V;PST;1;SG	NA	s t r aɪ t	s t r aɪ t ɪ d
stɹYt	stɹot	V;PST;1;SG	NA	s t r aɪ t	s t r əʊ t
stɹɛnd	stɹɛndɪd	V;PST;1;SG	NA	s t r ɛ n d	s t r ɛ n d ɪ d
stɹɛnd	stɹɛnt	V;PST;1;SG	NA	s t r ɛ n d	s t r ɛ n t
stɹɪŋk	stɹɪŋkt	V;PST;1;SG	NA	s t r ɪ ŋ k	s t r ɪ ŋ k t
stɹɪŋk	stɹʌŋk	V;PST;1;SG	NA	s t r ɪ ŋ k	s t r ʌ ŋ k
swid	swidɪd	V;PST;1;SG	NA	s w iː d	s w iː d ɪ d
swid	swɛd	V;PST;1;SG	NA	s w iː d	s w ɛ d
ʃɪd	ʃɪdɪd	V;PST;1;SG	NA	ʃ ɪ d	ʃ ɪ d ɪ d
ʃɪd	ʃɪd	V;PST;1;SG	NA	ʃ ɪ d	ʃ ɪ d
tɪŋk	tɪŋkt	V;PST;1;SG	NA	t ɪ ŋ k	t ɪ ŋ k t
tɪŋk	tʌŋk	V;PST;1;SG	NA	t ɪ ŋ k	t ʌ ŋ k
tɹYv	tɹYvd	V;PST;1;SG	NA	t r aɪ v	t r aɪ v d
tɹYv	tɹov	V;PST;1;SG	NA	t r aɪ v	t r əʊ v
tɹim	tɹimd	V;PST;1;SG	NA	t r iː m	t r iː m d
tɹim	tɹɛmpt	V;PST;1;SG	NA	t r iː m	t r ɛ m p t
tɹɪŋ	tɹɪŋd	V;PST;1;SG	NA	t r ɪ ŋ	t r ɪ ŋ d
tɹɪŋ	tɹʌŋ	V;PST;1;SG	NA	t r ɪ ŋ	t r ʌ ŋ
tɹɪŋk	tɹɪŋkt	V;PST;1;SG	NA	t r ɪ ŋ k	t r ɪ ŋ k t
tɹɪŋk	tɹʌŋk	V;PST;1;SG	NA	t r ɪ ŋ k	t r ʌ ŋ k
wʌm	wʌmd	V;PST;1;SG	NA	w ʌ m	w ʌ m d
wʌm	wem	V;PST;1;SG	NA	w ʌ m	w eɪ m
θɹY	θɹYd	V;PST;1;SG	NA	θ r aɪ	θ r aɪ d
θɹY	θɹu	V;PST;1;SG	NA	θ r aɪ	θ r uː
θɹim	θɹimd	V;PST;1;SG	NA	θ r iː m	θ r iː m d
θɹim	θɹɛmpt	V;PST;1;SG	NA	θ r iː m	θ r ɛ m p t
θɹiv	θɹivd	V;PST;1;SG	NA	θ r iː v	θ r iː v d
θɹiv	θɹɛft	V;PST;1;SG	NA	θ r iː v	θ r ɛ f t
